n_nodes,n_anomaly_nodes,method,noise_dist,data_id,ndcg_ranking,ndcg_manual,k
15,2,DSM,Normal,3,0.08,0.92,1
15,2,DSM,Normal,3,0.2670537239231426,0.8503664946977826,2
15,2,DSM,Normal,3,0.4076884176080383,0.9423385736126013,3
15,2,DSM,Normal,3,0.4731674076857862,0.9529012985155049,4
15,2,DSM,Normal,3,0.5408059643923349,0.9529012985155049,5
15,2,Shapley,Normal,3,0.28,0.34,1
15,2,Shapley,Normal,3,0.36633248796452733,0.21620710168494667,2
15,2,Shapley,Normal,3,0.3929390516346427,0.24686446132321962,3
15,2,Shapley,Normal,3,0.527170981294026,0.42643078467258133,4
15,2,Shapley,Normal,3,0.5918687311872464,0.5070780070141421,5
15,2,traversal,Normal,3,0.33,0.15,1
15,2,traversal,Normal,3,0.3084168780088682,0.2737928983150533,2
15,2,traversal,Normal,3,0.4243454768572281,0.3427719575011674,3
15,2,traversal,Normal,3,0.48927880868432816,0.47612635940032566,4
15,2,traversal,Normal,3,0.5652496513619735,0.5911672500934343,5
15,2,naive,Normal,3,0.34,0.04,1
15,2,naive,Normal,3,0.469498731946791,0.24116345976196166,2
15,2,naive,Normal,3,0.5379156099556591,0.2902152351831983,3
15,2,naive,Normal,3,0.5902988020178574,0.3958424842122346,4
15,2,naive,Normal,3,0.6373517110311088,0.4670017980430235,5
15,2,Bayesian,Normal,1,0.0,1.0,1
15,2,Bayesian,Normal,1,0.10551748528997784,0.6208842489101493,2
15,2,Bayesian,Normal,1,0.24615217897487363,0.6576730804760768,3
15,2,Bayesian,Normal,1,0.36074041161093234,0.7844257793109203,4
15,2,Bayesian,Normal,1,0.5254255931573116,0.8745609101632528,5
15,2,Bayesian,Normal,2,0.75,0.98,1
15,2,Bayesian,Normal,2,0.6037143953934399,0.6782548103570575,2
15,2,Bayesian,Normal,2,0.694936899405264,0.8499360243313859,3
15,2,Bayesian,Normal,2,0.7636898389868993,0.9027496488459041,4
15,2,Bayesian,Normal,2,0.8313283956934479,0.9169815116120619,5
